steps,voltage_mV,pressure,temperature_C,humidity_percent,hour,minute
86,100.43,31,32.04,55.94,13,45
87,75.25,27,34.99,94.03,13,45
91,1.37,10,23.38,61.74,13,45
91,101.02,26,22.54,48.44,13,45
92,47.92,13,20.06,51.24,13,45
91,125.19,32,31.85,58.48,13,45
93,111.22,27,20.6,45.12,13,45
94,40.56,13,31.59,52.97,13,45
95,65.05,21,20.69,43.88,13,45
96,41.58,22,8.88,41.54,13,45
98,0.84,4,29.68,86.91,13,45
100,80.51,34,34.67,15.61,13,45
101,78.49,21,28.9,87.66,13,45
101,92.57,29,29.84,44.03,13,45
101,76.9,19,28.26,52.92,13,45
102,97.42,31,30.25,67.76,13,45
104,4.39,8,31.34,44.72,13,45
105,0.56,7,28.89,58.52,13,45
107,1.07,1,22.69,50.17,13,45
106,97.81,29,32.37,60.73,13,45
107,41.57,16,21.76,14.33,13,45
110,97.78,25,29.84,51.19,13,45
110,76.83,31,8.8,44.83,13,45
112,59.52,27,20.8,14.55,13,45
110,20.78,13,7.4,63.91,13,45
113,111.17,30,34.22,69.9,13,45
114,61.44,22,20.26,12.31,13,45
113,65.53,28,29.55,16.26,13,45
117,39.44,12,27.14,60.97,13,45
115,24.59,15,45.57,17.07,13,45
117,4.29,5,45.09,47.96,13,45
117,77.25,22,25.84,47.34,13,46
120,63.91,19,27.52,42.27,13,46
122,3.44,2,23.01,57.45,13,46
120,69.66,30,6.82,41.62,13,46
121,57.79,22,32.99,19.82,13,46
122,53.42,14,33.09,47.91,13,46
124,83.04,29,22.15,44.07,13,46
125,4.43,9,9.15,53.65,13,46
128,2.65,2,24.77,46.62,13,46
128,3.41,9,31.95,63.85,13,46
130,27.0,15,58.45560000000002,41.17,13,46
129,0.7,9,25.61,13.39,13,46
132,19.84,17,50.51,13.86,13,46
133,35.04,14,34.29,14.53,13,46
131,2.35,11,29.05,40.95,13,46
135,74.17,18,28.77,54.52,13,46
133,2.2,4,23.5,60.87,13,46
136,36.25,27,50.01,19.08,13,46
138,59.6,18,28.38,43.04,13,46
139,50.85,22,28.26,15.2,13,46
137,111.26,35,24.89,59.09,13,46
140,90.85,33,26.13,51.25,13,46
139,107.99,30,21.26,60.35,13,46
141,2.5,11,51.48,61.01,13,46
141,0.24,5,31.11,42.5,13,46
145,77.5,19,33.36,65.39,13,46
145,3.22,9,31.19,89.79,13,46
144,105.68,27,34.33,54.0,13,46
145,132.77120000000002,34,30.58,49.0,13,46
149,49.46,31,48.1,66.49,13,46
149,97.26,26,22.5,61.42,13,46
149,2.96,2,50.5,53.52,13,46
151,36.51,15,5.53,44.33,13,46
150,65.43,30,22.83,94.03,13,46
151,3.57,7,34.99,44.52,13,46
154,0.3,2,32.71,90.64,13,46
154,4.23,3,27.65,42.72,13,46
155,42.92,14,24.63,57.56,13,46
156,49.44,12,20.74,46.33,13,46
156,0.18,3,33.87,63.57,13,46
160,84.33,29,22.83,47.63,13,46
158,71.0,33,30.21,11.14,13,46
159,4.48,8,26.17,44.89,13,46
162,0.88,11,9.09,66.65,13,46
162,52.88,15,31.36,61.27,13,46
164,107.88,32,20.85,51.56,13,46
164,21.72,12,47.45,64.77,13,46
165,132.77120000000002,35,29.62,51.17,13,46
168,39.78,19,32.82,12.53,13,46
169,4.15,6,7.02,41.1,13,46
169,3.45,6,33.84,60.12,13,46
168,50.9,18,26.33,11.84,13,46
170,72.26,29,27.47,94.03,13,46
173,44.65,20,8.65,62.61,13,46
171,3.49,11,9.1,42.58,13,46
175,49.9,18,33.33,52.34,13,46
175,59.44,31,20.75,15.38,13,46
175,80.53,25,21.58,53.8,13,46
175,65.55,20,23.38,85.17,13,46
178,30.26,12,31.85,51.59,13,46
177,92.89,27,34.21,45.81,13,47
180,47.93,12,33.02,47.39,13,47
180,1.27,7,21.16,58.38,13,47
183,1.63,11,24.65,62.08,13,47
182,0.21,1,53.4,69.49,13,47
182,57.05,21,23.91,87.23,13,47
186,79.95,22,20.53,42.81,13,47
186,103.24,26,34.5,53.73,13,47
185,70.61,24,32.72,41.73,13,47
188,72.07,27,26.83,42.23,13,47
188,0.33,3,33.77,87.93,13,47
191,65.63,27,9.04,53.81,13,47
189,108.68,34,28.03,69.36,13,47
191,114.66,30,32.28,54.86,13,47
191,55.3,27,51.26,44.78,13,47
194,95.46,35,31.97,13.92,13,47
196,0.59,2,30.92,11.36,13,47
196,52.49,15,26.34,64.82,13,47
196,1.19,4,26.24,47.52,13,47
199,44.61,16,30.83,16.86,13,47
197,0.18,9,29.4,69.87,13,47
198,21.82,15,52.36,11.14,13,47
199,57.56,18,28.19,47.67,13,47
201,67.12,17,31.02,68.82,13,47
204,50.23,17,21.85,62.02,13,47
202,73.85,26,30.53,56.82,13,47
205,1.7,1,20.11,56.78,13,47
204,3.35,10,25.87,42.28,13,47
208,87.19,29,28.11,40.37,13,47
206,4.46,5,29.42,40.07,13,47
208,4.87,9,34.98,57.1,13,47
208,117.3,35,27.8,56.92,13,47
209,132.77120000000002,33,28.09,88.39,13,47
211,54.4,20,24.93,63.18,13,47
211,41.36,16,24.17,52.69,13,47
213,70.12,18,32.87,67.28,13,47
214,72.01,22,27.93,50.85,13,47
214,1.78,1,24.71,61.04,13,47
218,29.97,12,29.25,94.03,13,47
216,4.79,5,7.79,53.21,13,47
220,93.7,33,34.71,66.67,13,47
218,0.18,2,30.85,59.53,13,47
219,0.3,1,47.57,60.42,13,47
221,1.98,1,7.85,51.74,13,47
221,2.5,10,26.08,12.18,13,47
222,66.17,24,34.08,40.17,13,47
225,62.71,26,6.54,45.4,13,47
226,73.11,24,27.93,44.02,13,47
225,45.37,28,6.53,61.41,13,47
227,55.65,19,33.78,65.65,13,47
230,40.2,20,53.82,69.74,13,47
230,56.87,16,32.97,50.71,13,47
229,0.92,9,45.36,67.71,13,47
231,31.59,16,26.12,91.03,13,47
233,94.9,35,29.77,44.64,13,47
235,1.11,4,20.92,11.14,13,47
236,84.65,32,25.04,11.14,13,47
237,104.26,28,26.2,47.09,13,47
237,85.2,33,20.58,57.6,13,47
239,49.54,20,47.54,51.1,13,47
239,82.02,31,34.19,58.44,13,48
238,87.62,22,26.98,58.5,13,48
242,35.42,14,22.64,53.77,13,48
240,35.2,17,47.89,69.06,13,48
241,109.45,28,31.14,45.82,13,48
244,28.2,15,53.4,44.15,13,48
246,1.35,3,52.49,11.14,13,48
246,1.68,2,32.99,43.53,13,48
247,26.21,17,6.59,68.3,13,48
246,127.59,32,33.7,43.46,13,48
248,1.34,8,32.02,85.38,13,48
249,2.2,5,9.73,61.67,13,48
250,45.4,16,29.53,11.14,13,48
250,0.99,11,28.53,59.96,13,48
252,102.82,31,20.13,68.97,13,48
252,46.29,13,30.49,62.0,13,48
253,29.31,14,54.81,63.58,13,48
257,0.84,6,50.13,56.95,13,48
258,76.17,24,24.44,51.6,13,48
258,2.31,1,24.02,48.06,13,48
260,0.63,2,5.53,54.01,13,48
261,77.93,19,27.23,59.1,13,48
260,104.08,32,20.37,55.18,13,48
263,82.82,34,50.8,42.42,13,48
262,43.4,15,34.6,91.06,13,48
264,67.42,35,8.74,68.65,13,48
265,62.75,23,26.95,69.93,13,48
265,2.7,4,21.98,58.42,13,48
268,35.3,14,32.79,65.9,13,48
269,3.04,4,25.25,67.72,13,48
269,59.92,23,21.86,44.09,13,48
271,62.81,29,53.14,65.38,13,48
269,96.86,35,34.8,62.41,13,48
270,0.81,6,20.05,60.91,13,48
273,55.51,16,29.92,56.49,13,48
272,38.55,22,5.53,16.65,13,48
273,67.81,28,53.08,54.77,13,48
275,4.47,9,34.31,69.99,13,48
275,33.59,15,30.89,15.33,13,48
279,3.86,7,27.64,60.69,13,48
277,132.77120000000002,34,20.36,56.06,13,48
281,102.97,30,34.54,42.52,13,48
282,0.5,10,24.68,52.09,13,48
283,1.71,11,47.23,44.71,13,48
282,4.04,2,28.45,44.97,13,48
282,0.9,9,53.65,41.23,13,48
286,79.92,20,33.53,67.83,13,48
287,33.62,14,5.53,68.19,13,48
286,42.9,17,32.15,60.91,13,48
289,4.61,5,47.82,65.9,13,48
289,54.37,14,29.19,43.0,13,48
289,3.18,1,31.89,94.03,13,48
289,3.82,5,27.64,69.0,13,48
292,46.45,16,30.13,11.64,13,48
294,2.98,8,54.79,59.09,13,48
293,3.38,5,21.83,43.91,13,48
296,1.76,9,26.08,44.87,13,48
296,64.55,20,20.42,59.65,13,48
298,88.63,28,28.56,53.25,13,48
299,112.98,28,25.6,46.16,13,48
297,82.78,28,28.11,61.4,13,49
298,3.45,9,7.32,12.28,13,49
302,19.48,13,7.78,17.68,13,49
303,63.84,26,5.54,46.74,13,49
301,2.84,7,22.96,66.92,13,49
302,96.73,30,33.74,43.51,13,49
305,4.56,9,24.08,59.77,13,49
305,106.64,34,29.64,55.71,13,49
305,95.22,35,30.8,60.63,13,49
308,52.55,14,25.78,59.53,13,49
307,58.22,28,8.54,64.48,13,49
310,115.77,34,34.83,56.16,13,49
311,93.78,30,23.32,67.11,13,49
313,0.22,7,25.26,41.07,13,49
311,120.89,31,32.62,41.47,13,49
314,1.5,7,27.32,40.61,13,49
313,70.26,28,26.62,94.03,13,49
315,3.44,1,23.9,64.55,13,49
315,57.13,18,24.49,52.05,13,49
316,2.44,5,32.15,40.76,13,49
319,46.38,19,8.07,41.51,13,49
318,45.25,17,22.15,42.92,13,49
322,81.94,22,26.08,85.1,13,49
320,4.45,2,20.84,13.36,13,49
324,51.0,19,28.11,11.17,13,49
323,72.08,21,22.4,46.6,13,49
325,78.41,19,34.92,51.75,13,49
325,54.63,29,25.08,18.14,13,49
325,2.36,5,24.05,61.44,13,49
327,85.86,24,20.41,64.02,13,49
328,3.28,5,34.91,66.1,13,49
329,55.21,30,20.85,92.48,13,49
332,54.25,17,27.27,60.38,13,49
332,46.13,21,5.53,55.19,13,49
331,4.2,5,20.98,54.56,13,49
335,1.72,2,26.76,46.79,13,49
333,123.78,33,34.25,56.65,13,49
337,91.1,32,30.58,40.53,13,49
337,71.92,24,20.81,66.25,13,49
336,74.57,34,5.53,53.81,13,49
339,1.91,6,29.53,63.04,13,49
340,44.92,12,30.31,86.87,13,49
342,36.45,17,21.74,90.53,13,49
341,25.05,20,8.94,92.13,13,49
344,59.78,21,25.2,50.64,13,49
345,4.95,2,26.85,44.85,13,49
345,40.19,26,9.51,18.31,13,49
346,110.72,31,23.5,42.29,13,49
347,90.64,22,32.8,85.18,13,49
346,130.94,34,23.42,66.38,13,49
347,121.58,31,20.15,69.56,13,49
349,47.09,21,9.93,64.91,13,49
349,40.2,15,29.96,91.46,13,49
351,39.89,24,5.79,60.48,13,49
353,92.72,24,24.47,43.99,13,49
353,128.47,34,26.77,51.98,13,49
353,4.67,5,30.6,13.85,13,49
355,65.58,22,22.55,61.86,13,49
357,88.34,27,29.22,85.07,13,49
356,4.01,10,33.87,63.52,13,49
359,50.58,31,46.92,40.56,13,50
358,41.0,25,45.37,58.47,13,50
360,4.12,1,34.19,14.16,13,50
361,42.27,12,26.78,85.59,13,50
362,128.26,31,34.58,43.6,13,50
362,95.69,32,30.73,63.99,13,50
366,1.75,11,29.0,63.54,13,50
366,35.55,14,30.73,18.88,13,50
368,37.51,23,57.31,59.66,13,50
366,4.57,8,29.57,48.38,13,50
370,70.3,21,22.5,67.59,13,50
368,0.43,11,29.22,45.35,13,50
371,61.65,27,32.64,93.45,13,50
372,46.9,18,31.82,49.74,13,50
373,28.24,17,9.04,18.21,13,50
372,51.64,18,31.82,42.14,13,50
375,33.1,12,32.65,59.46,13,50
377,63.19,24,33.9,17.72,13,50
378,3.77,6,27.07,47.59,13,50
376,47.77,15,33.98,46.36,13,50
378,18.17,12,8.46,56.48,13,50
380,58.88,27,22.1,18.42,13,50
381,4.39,10,22.3,54.35,13,50
380,47.49,17,23.14,48.94,13,50
381,66.84,30,53.71,85.32,13,50
385,0.63,8,34.52,42.37,13,50
384,104.95,35,32.02,53.73,13,50
384,2.06,9,33.16,47.02,13,50
388,59.44,27,5.89,45.51,13,50
389,94.99,29,24.15,43.32,13,50
387,0.54,9,26.83,48.83,13,50
390,79.93,27,23.36,48.94,13,50
390,2.5,3,26.32,45.45,13,50
392,87.43,29,29.56,41.06,13,50
392,130.1,32,20.44,55.03,13,50
392,3.42,4,20.52,13.81,13,50
396,1.59,11,26.17,64.02,13,50
396,34.04,28,45.64,19.56,13,50
398,38.86,14,22.99,16.44,13,50
399,53.52,14,32.09,53.7,13,50
399,4.27,7,28.93,14.94,13,50
399,119.05,29,25.75,50.58,13,50
399,1.95,2,20.17,57.51,13,50
401,3.54,9,26.17,42.08,13,50
404,95.83,35,29.34,94.03,13,50
404,4.19,4,7.53,90.77,13,50
403,3.04,3,21.27,62.55,13,50
405,70.41,17,25.93,85.95,13,50
405,48.88,17,26.73,69.1,13,50
409,2.94,7,7.22,42.24,13,50
409,76.65,22,26.02,85.23,13,50
411,46.62,15,32.15,55.46,13,50
409,109.65,27,22.46,67.71,13,50
413,38.54,14,22.54,55.3,13,50
412,64.57,29,6.34,55.65,13,50
413,49.51,25,26.91,11.35,13,50
416,25.52,14,20.74,91.87,13,50
414,56.04,21,21.17,60.93,13,50
417,82.6,26,30.18,43.61,13,50
416,31.79,20,8.52,45.48,13,50
417,95.06,35,21.82,63.16,13,51
418,90.83,22,26.34,68.61,13,51
422,72.52,24,30.58,52.63,13,51
421,68.83,18,33.97,52.8,13,51
422,120.81,31,32.6,60.58,13,51
424,101.7,31,29.18,65.38,13,51
423,93.42,32,33.73,66.33,13,51
427,69.23,26,34.79,67.57,13,51
428,81.46,35,22.16,14.86,13,51
427,97.99,34,28.79,64.26,13,51
428,107.56,31,24.06,64.66,13,51
431,65.15,17,34.64,51.28,13,51
431,50.08,20,7.5,69.08,13,51
433,100.57,26,27.6,69.59,13,51
432,100.61,33,22.07,41.91,13,51
435,3.63,4,21.55,40.21,13,51
436,77.38,28,23.61,56.1,13,51
435,51.45,14,29.81,64.61,13,51
438,1.2,5,50.61,58.74,13,51
436,40.27,16,6.69,45.91,13,51
440,85.9,24,32.26,48.76,13,51
441,93.26,29,20.13,42.2,13,51
439,64.73,26,28.26,16.55,13,51
442,63.64,23,25.39,69.8,13,51
442,45.34,27,54.19,42.27,13,51
445,1.16,9,34.33,89.38,13,51
443,3.49,5,30.05,59.1,13,51
447,61.7,23,22.73,94.03,13,51
446,3.07,8,51.99,12.35,13,51
447,1.62,8,32.16,55.22,13,51
450,4.57,5,29.69,55.79,13,51
450,3.65,6,30.03,12.45,13,51
452,2.35,9,21.27,66.78,13,51
453,62.62,18,23.82,41.37,13,51
453,66.84,26,25.33,61.11,13,51
455,21.31,17,56.88,12.84,13,51
456,87.83,25,28.44,56.29,13,51
455,131.56,32,30.68,45.05,13,51
457,97.5,30,31.53,68.97,13,51
457,103.52,26,33.2,63.34,13,51
459,52.17,15,26.35,62.39,13,51
460,2.1,6,29.0,91.63,13,51
462,80.92,28,25.61,66.94,13,51
461,54.05,24,53.78,55.75,13,51
463,91.83,28,24.71,41.52,13,51
465,73.86,19,27.03,58.2,13,51
463,47.34,26,50.59,69.05,13,51
466,98.16,32,28.3,42.97,13,51
468,52.94,21,27.38,44.75,13,51
466,2.06,1,34.65,49.7,13,51
468,54.54,19,29.17,68.59,13,51
468,74.64,21,25.74,49.85,13,51
472,26.51,15,25.35,17.04,13,51
472,3.41,1,22.25,42.92,13,51
471,3.12,7,22.26,54.86,13,51
474,60.66,32,33.33,12.24,13,51
475,63.49,20,31.33,57.21,13,51
477,55.37,31,9.23,61.98,13,51
477,72.41,28,24.4,46.25,13,51
477,23.31,12,34.74,92.05,13,51
479,58.82,30,9.15,40.44,13,52
478,67.83,23,29.22,43.5,13,52
479,48.77,30,50.61,64.39,13,52
483,51.82,14,21.31,50.17,13,52
484,26.53,15,48.15,68.01,13,52
482,54.51,28,28.59,17.84,13,52
485,0.2,7,50.7,53.57,13,52
487,30.86,20,52.16,54.13,13,52
486,0.2,10,29.02,19.22,13,52
489,80.8,35,29.05,11.68,13,52
490,23.98,13,33.72,17.48,13,52
491,45.17,20,58.45560000000002,57.71,13,52
491,93.75,23,29.93,41.22,13,52
493,67.36,35,46.31,56.62,13,52
494,83.74,24,25.31,50.3,13,52
493,70.52,25,31.26,69.69,13,52
495,52.54,34,53.13,43.87,13,52
495,56.47,21,33.23,53.43,13,52
498,2.31,5,26.9,62.43,13,52
497,67.03,26,32.72,60.31,13,52
500,65.14,22,33.87,69.52,13,52
501,73.92,33,20.09,11.4,13,52
501,60.75,19,26.93,49.99,13,52
502,4.86,2,24.67,60.27,13,52
504,98.08,25,30.27,53.67,13,52
502,2.88,6,32.34,57.95,13,52
504,2.42,7,26.41,44.66,13,52
505,34.0,13,28.69,85.8,13,52
505,40.24,16,31.59,94.02,13,52
506,1.39,6,29.74,49.93,13,52
508,85.26,23,28.06,50.91,13,52
511,43.11,16,21.5,58.78,13,52
512,3.66,10,30.94,63.48,13,52
511,60.74,16,32.1,54.95,13,52
511,108.51,28,29.83,66.46,13,52
512,46.26,24,21.05,94.03,13,52
514,90.9,27,22.29,49.92,13,52
515,2.03,3,20.15,68.49,13,52
518,99.69,29,33.51,87.49,13,52
517,4.83,9,9.53,68.11,13,52
519,127.11,34,25.81,41.92,13,52
518,120.21,34,25.74,67.91,13,52
521,87.59,35,28.53,66.1,13,52
522,36.02,13,34.84,43.08,13,52
522,2.06,1,34.78,40.08,13,52
524,4.86,10,27.48,16.6,13,52
526,27.92,17,49.76,19.23,13,52
524,29.19,12,53.19,43.35,13,52
527,32.86,12,32.99,42.71,13,52
527,81.42,31,31.91,14.62,13,52
530,43.93,28,8.91,50.94,13,52
531,0.61,5,33.35,62.49,13,52
530,4.04,4,31.69,58.29,13,52
531,34.89,15,24.6,91.51,13,52
532,63.13,26,58.45560000000002,40.74,13,52
532,0.72,1,27.17,47.72,13,52
536,67.2,26,29.01,15.02,13,52
537,28.43,13,55.22,58.82,13,52
537,124.97,34,29.99,86.09,13,52
538,3.59,8,31.67,68.67,13,52
539,59.27,18,26.4,45.63,13,53
539,103.19,30,34.75,46.26,13,53
539,111.02,32,32.69,56.58,13,53
543,55.03,16,20.27,45.72,13,53
541,3.99,1,22.54,11.51,13,53
543,70.08,21,27.84,45.61,13,53
546,55.44,18,25.59,46.07,13,53
545,48.37,23,31.97,13.11,13,53
546,48.84,25,20.68,90.82,13,53
546,52.33,20,30.23,61.01,13,53
548,38.81,16,8.85,67.12,13,53
550,72.71,18,30.19,52.61,13,53
550,0.25,8,33.13,65.25,13,53
553,54.87,25,52.5,57.6,13,53
552,99.81,29,30.89,66.33,13,53
555,101.42,29,32.14,88.49,13,53
555,2.06,9,27.75,57.7,13,53
555,66.86,25,33.0,44.76,13,53
556,130.03,31,31.93,48.62,13,53
556,70.32,17,26.56,47.59,13,53
558,4.65,11,58.45560000000002,44.27,13,53
560,107.14,28,23.12,45.19,13,53
561,51.91,22,9.26,45.38,13,53
562,2.43,8,28.05,63.53,13,53
563,4.9,3,25.56,44.87,13,53
562,2.93,6,24.4,68.38,13,53
565,100.83,34,34.89,47.8,13,53
567,50.92,30,52.49,67.17,13,53
566,4.05,5,33.55,51.42,13,53
567,65.05,26,24.29,50.49,13,53
567,71.59,25,33.62,45.06,13,53
568,2.45,11,21.94,60.52,13,53
569,35.26,12,25.86,94.01,13,53
570,48.26,20,47.43,68.21,13,53
574,3.44,3,34.71,42.86,13,53
573,79.72,31,28.14,11.14,13,53
574,36.37,16,23.13,14.72,13,53
575,70.97,17,32.62,55.9,13,53
577,45.1,14,22.86,44.3,13,53
579,3.69,9,23.85,11.14,13,53
578,41.45,12,29.48,65.62,13,53
579,61.31,18,21.68,62.63,13,53
580,39.53,13,31.5,50.88,13,53
583,38.02,13,33.76,44.8,13,53
584,59.32,19,26.14,67.44,13,53
584,98.86,33,29.09,60.9,13,53
584,51.31,13,30.87,60.16,13,53
585,65.19,30,29.36,93.49,13,53
585,48.27,16,32.56,63.78,13,53
588,23.49,12,52.48,65.01,13,53
589,4.65,11,28.77,60.29,13,53
589,74.56,27,30.54,56.22,13,53
592,27.03,17,56.32,56.33,13,53
592,51.3,14,27.09,41.28,13,53
593,55.4,16,26.49,66.22,13,53
595,132.77120000000002,35,32.38,46.1,13,53
596,93.79,24,29.69,68.26,13,53
596,52.96,25,48.11,56.11,13,53
595,82.38,23,28.89,48.61,13,53
599,45.5,28,5.53,53.92,13,53
600,50.89,29,5.53,57.72,13,54
598,0.54,10,20.99,52.86,13,54
602,3.56,3,21.16,66.23,13,54
602,50.12,28,30.15,11.14,13,54
604,0.22,1,33.88,40.29,13,54
603,4.76,10,28.15,42.64,13,54
605,47.62,21,58.45560000000002,55.29,13,54
607,69.83,18,22.72,52.38,13,54
605,130.15,34,25.85,58.55,13,54
609,0.27,7,26.27,52.29,13,54
609,25.49,12,58.02,48.96,13,54
608,65.73,17,21.71,55.29,13,54
610,45.32,13,21.95,42.73,13,54
613,88.51,24,29.47,47.43,13,54
612,29.99,17,26.92,91.54,13,54
613,66.49,32,5.72,41.4,13,54
615,66.33,28,28.9,17.1,13,54
617,100.94,27,31.48,44.59,13,54
616,37.32,21,8.45,59.82,13,54
619,4.84,9,58.45560000000002,49.58,13,54
620,69.35,21,34.71,69.39,13,54
621,2.69,4,34.85,65.0,13,54
622,43.52,24,26.41,11.14,13,54
623,4.05,4,52.12,50.03,13,54
624,5.0,7,32.05,87.22,13,54
625,106.32,31,24.94,63.28,13,54
626,112.77,29,24.71,89.54,13,54
627,52.72,20,22.46,69.39,13,54
626,1.78,1,6.87,47.7,13,54
629,69.31,21,20.7,62.48,13,54
630,3.6,4,45.24,88.82,13,54
629,46.65,16,25.39,61.94,13,54
630,57.58,22,29.32,61.43,13,54
631,44.02,15,23.67,53.25,13,54
631,58.44,30,53.08,65.81,13,54
634,3.53,7,31.78,61.73,13,54
635,45.57,24,23.03,15.95,13,54
635,3.16,7,53.8,92.37,13,54
638,85.93,30,20.19,85.81,13,54
639,4.59,6,46.32,65.0,13,54
638,48.78,23,50.54,47.67,13,54
639,64.13,21,33.19,49.67,13,54
641,1.2,3,50.3,50.17,13,54
642,49.73,28,53.73,65.93,13,54
642,83.28,27,27.75,63.95,13,54
642,105.76,27,32.48,55.52,13,54
644,79.55,23,33.76,42.7,13,54
645,47.44,15,20.11,60.36,13,54
647,2.09,5,26.74,40.92,13,54
647,29.64,23,6.88,11.79,13,54
649,69.51,30,21.5,14.8,13,54
648,4.52,11,29.18,94.03,13,54
652,65.64,16,30.95,62.77,13,54
650,4.0,10,27.12,45.99,13,54
652,98.95,25,21.07,63.31,13,54
654,108.79,30,33.94,69.56,13,54
654,39.99,22,7.87,41.65,13,54
654,2.63,5,21.49,11.14,13,54
655,81.58,23,31.8,65.38,13,54
656,91.69,22,30.49,40.48,13,54
658,45.4,20,31.36,92.9,13,55
658,1.35,9,29.98,68.95,13,55
662,30.14,26,5.53,13.92,13,55
662,45.83,24,6.49,42.5,13,55
664,57.23,27,54.42,64.37,13,55
663,20.49,15,5.84,14.43,13,55
663,2.4,8,23.76,49.01,13,55
666,30.0,17,21.74,17.1,13,55
665,73.72,33,5.81,47.66,13,55
667,3.3,2,46.12,69.59,13,55
670,63.83,17,23.71,56.21,13,55
670,1.94,6,20.74,86.86,13,55
671,3.18,4,32.06,47.93,13,55
673,74.82,33,7.07,65.67,13,55
672,3.52,3,29.06,69.98,13,55
675,112.25,28,31.54,69.22,13,55
673,2.33,6,29.9,68.33,13,55
676,0.39,2,25.53,47.54,13,55
678,92.99,27,22.83,42.52,13,55
676,0.42,4,26.72,50.33,13,55
677,125.9,34,22.24,66.03,13,55
679,96.46,26,26.72,57.12,13,55
679,132.77120000000002,35,31.1,66.73,13,55
680,96.04,28,25.95,46.68,13,55
682,59.31,21,29.74,45.31,13,55
685,129.05,32,29.54,57.4,13,55
686,36.61,16,21.69,17.91,13,55
684,45.47,19,5.53,64.9,13,55
688,0.69,6,29.47,64.04,13,55
686,85.15,35,29.38,12.21,13,55
688,61.05,15,28.52,60.85,13,55
688,83.25,30,25.9,85.5,13,55
689,92.91,26,23.75,66.05,13,55
690,2.97,1,34.4,50.93,13,55
694,46.67,30,7.71,67.5,13,55
695,1.06,6,54.43,50.76,13,55
