pressure,temperature_C,humidity_percent,voltage_mV
9,31.95,63.85,3.41
15,58.45560000000002,41.17,27.0
9,25.61,13.39,0.7
17,50.51,13.86,19.84
14,34.29,14.53,35.04
11,29.05,40.95,2.35
18,28.77,54.52,74.17
4,23.5,60.87,2.2
27,50.01,19.08,36.25
18,28.38,43.04,59.6
22,28.26,15.2,50.85
35,24.89,59.09,111.26
33,26.13,51.25,90.85
30,21.26,60.35,107.99
11,51.48,61.01,2.5
5,31.11,42.5,0.24
19,33.36,65.39,77.5
9,31.19,89.79,3.22
27,34.33,54.0,105.68
34,30.58,49.0,132.77120000000002
31,48.1,66.49,49.46
26,22.5,61.42,97.26
2,50.5,53.52,2.96
15,5.53,44.33,36.51
30,22.83,94.03,65.43
7,34.99,44.52,3.57
2,32.71,90.64,0.3
3,27.65,42.72,4.23
14,24.63,57.56,42.92
12,20.74,46.33,49.44
3,33.87,63.57,0.18
29,22.83,47.63,84.33
33,30.21,11.14,71.0
8,26.17,44.89,4.48
11,9.09,66.65,0.88
15,31.36,61.27,52.88
32,20.85,51.56,107.88
12,47.45,64.77,21.72
35,29.62,51.17,132.77120000000002
19,32.82,12.53,39.78
6,7.02,41.1,4.15
6,33.84,60.12,3.45
18,26.33,11.84,50.9
29,27.47,94.03,72.26
20,8.65,62.61,44.65
11,9.1,42.58,3.49
18,33.33,52.34,49.9
31,20.75,15.38,59.44
25,21.58,53.8,80.53
20,23.38,85.17,65.55
12,31.85,51.59,30.26
27,34.21,45.81,92.89
12,33.02,47.39,47.93
7,21.16,58.38,1.27
11,24.65,62.08,1.63
1,53.4,69.49,0.21
21,23.91,87.23,57.05
22,20.53,42.81,79.95
26,34.5,53.73,103.24
24,32.72,41.73,70.61
27,26.83,42.23,72.07
3,33.77,87.93,0.33
27,9.04,53.81,65.63
34,28.03,69.36,108.68
30,32.28,54.86,114.66
27,51.26,44.78,55.3
35,31.97,13.92,95.46
2,30.92,11.36,0.59
15,26.34,64.82,52.49
4,26.24,47.52,1.19
16,30.83,16.86,44.61
9,29.4,69.87,0.18
15,52.36,11.14,21.82
18,28.19,47.67,57.56
17,31.02,68.82,67.12
17,21.85,62.02,50.23
26,30.53,56.82,73.85
1,20.11,56.78,1.7
10,25.87,42.28,3.35
29,28.11,40.37,87.19
5,29.42,40.07,4.46
9,34.98,57.1,4.87
35,27.8,56.92,117.3
33,28.09,88.39,132.77120000000002
20,24.93,63.18,54.4
16,24.17,52.69,41.36
18,32.87,67.28,70.12
22,27.93,50.85,72.01
1,24.71,61.04,1.78
12,29.25,94.03,29.97
5,7.79,53.21,4.79
33,34.71,66.67,93.7
2,30.85,59.53,0.18
1,47.57,60.42,0.3
1,7.85,51.74,1.98
10,26.08,12.18,2.5
24,34.08,40.17,66.17
26,6.54,45.4,62.71
24,27.93,44.02,73.11
28,6.53,61.41,45.37
19,33.78,65.65,55.65
20,53.82,69.74,40.2
16,32.97,50.71,56.87
9,45.36,67.71,0.92
16,26.12,91.03,31.59
35,29.77,44.64,94.9
4,20.92,11.14,1.11
32,25.04,11.14,84.65
28,26.2,47.09,104.26
33,20.58,57.6,85.2
20,47.54,51.1,49.54
31,34.19,58.44,82.02
22,26.98,58.5,87.62
14,22.64,53.77,35.42
17,47.89,69.06,35.2
28,31.14,45.82,109.45
15,53.4,44.15,28.2
3,52.49,11.14,1.35
2,32.99,43.53,1.68
17,6.59,68.3,26.21
32,33.7,43.46,127.59
8,32.02,85.38,1.34
5,9.73,61.67,2.2
16,29.53,11.14,45.4
11,28.53,59.96,0.99
31,20.13,68.97,102.82
13,30.49,62.0,46.29
14,54.81,63.58,29.31
6,50.13,56.95,0.84
24,24.44,51.6,76.17
1,24.02,48.06,2.31
2,5.53,54.01,0.63
19,27.23,59.1,77.93
32,20.37,55.18,104.08
34,50.8,42.42,82.82
15,34.6,91.06,43.4
35,8.74,68.65,67.42
23,26.95,69.93,62.75
4,21.98,58.42,2.7
14,32.79,65.9,35.3
4,25.25,67.72,3.04
23,21.86,44.09,59.92
29,53.14,65.38,62.81
35,34.8,62.41,96.86
6,20.05,60.91,0.81
16,29.92,56.49,55.51
22,5.53,16.65,38.55
28,53.08,54.77,67.81
9,34.31,69.99,4.47
15,30.89,15.33,33.59
7,27.64,60.69,3.86
34,20.36,56.06,132.77120000000002
30,34.54,42.52,102.97
10,24.68,52.09,0.5
11,47.23,44.71,1.71
2,28.45,44.97,4.04
9,53.65,41.23,0.9
20,33.53,67.83,79.92
14,5.53,68.19,33.62
17,32.15,60.91,42.9
5,47.82,65.9,4.61
14,29.19,43.0,54.37
1,31.89,94.03,3.18
5,27.64,69.0,3.82
16,30.13,11.64,46.45
8,54.79,59.09,2.98
5,21.83,43.91,3.38
9,26.08,44.87,1.76
20,20.42,59.65,64.55
28,28.56,53.25,88.63
28,25.6,46.16,112.98
28,28.11,61.4,82.78
9,7.32,12.28,3.45
13,7.78,17.68,19.48
26,5.54,46.74,63.84
7,22.96,66.92,2.84
30,33.74,43.51,96.73
9,24.08,59.77,4.56
34,29.64,55.71,106.64
35,30.8,60.63,95.22
14,25.78,59.53,52.55
28,8.54,64.48,58.22
34,34.83,56.16,115.77
30,23.32,67.11,93.78
7,25.26,41.07,0.22
31,32.62,41.47,120.89
7,27.32,40.61,1.5
28,26.62,94.03,70.26
1,23.9,64.55,3.44
18,24.49,52.05,57.13
5,32.15,40.76,2.44
19,8.07,41.51,46.38
17,22.15,42.92,45.25
22,26.08,85.1,81.94
2,20.84,13.36,4.45
19,28.11,11.17,51.0
21,22.4,46.6,72.08
19,34.92,51.75,78.41
29,25.08,18.14,54.63
5,24.05,61.44,2.36
24,20.41,64.02,85.86
5,34.91,66.1,3.28
30,20.85,92.48,55.21
17,27.27,60.38,54.25
21,5.53,55.19,46.13
5,20.98,54.56,4.2
2,26.76,46.79,1.72
33,34.25,56.65,123.78
32,30.58,40.53,91.1
24,20.81,66.25,71.92
34,5.53,53.81,74.57
6,29.53,63.04,1.91
12,30.31,86.87,44.92
17,21.74,90.53,36.45
20,8.94,92.13,25.05
21,25.2,50.64,59.78
2,26.85,44.85,4.95
26,9.51,18.31,40.19
31,23.5,42.29,110.72
22,32.8,85.18,90.64
34,23.42,66.38,130.94
31,20.15,69.56,121.58
21,9.93,64.91,47.09
15,29.96,91.46,40.2
24,5.79,60.48,39.89
24,24.47,43.99,92.72
34,26.77,51.98,128.47
5,30.6,13.85,4.67
22,22.55,61.86,65.58
27,29.22,85.07,88.34
10,33.87,63.52,4.01
31,46.92,40.56,50.58
25,45.37,58.47,41.0
1,34.19,14.16,4.12
12,26.78,85.59,42.27
31,34.58,43.6,128.26
32,30.73,63.99,95.69
11,29.0,63.54,1.75
14,30.73,18.88,35.55
23,57.31,59.66,37.51
8,29.57,48.38,4.57
21,22.5,67.59,70.3
11,29.22,45.35,0.43
27,32.64,93.45,61.65
18,31.82,49.74,46.9
17,9.04,18.21,28.24
18,31.82,42.14,51.64
12,32.65,59.46,33.1
24,33.9,17.72,63.19
6,27.07,47.59,3.77
15,33.98,46.36,47.77
12,8.46,56.48,18.17
27,22.1,18.42,58.88
10,22.3,54.35,4.39
17,23.14,48.94,47.49
30,53.71,85.32,66.84
8,34.52,42.37,0.63
35,32.02,53.73,104.95
9,33.16,47.02,2.06
27,5.89,45.51,59.44
29,24.15,43.32,94.99
9,26.83,48.83,0.54
27,23.36,48.94,79.93
3,26.32,45.45,2.5
29,29.56,41.06,87.43
32,20.44,55.03,130.1
4,20.52,13.81,3.42
11,26.17,64.02,1.59
28,45.64,19.56,34.04
14,22.99,16.44,38.86
14,32.09,53.7,53.52
7,28.93,14.94,4.27
29,25.75,50.58,119.05
2,20.17,57.51,1.95
9,26.17,42.08,3.54
35,29.34,94.03,95.83
4,7.53,90.77,4.19
3,21.27,62.55,3.04
17,25.93,85.95,70.41
17,26.73,69.1,48.88
7,7.22,42.24,2.94
22,26.02,85.23,76.65
15,32.15,55.46,46.62
27,22.46,67.71,109.65
14,22.54,55.3,38.54
29,6.34,55.65,64.57
25,26.91,11.35,49.51
14,20.74,91.87,25.52
21,21.17,60.93,56.04
26,30.18,43.61,82.6
20,8.52,45.48,31.79
35,21.82,63.16,95.06
22,26.34,68.61,90.83
24,30.58,52.63,72.52
18,33.97,52.8,68.83
31,32.6,60.58,120.81
31,29.18,65.38,101.7
32,33.73,66.33,93.42
26,34.79,67.57,69.23
35,22.16,14.86,81.46
34,28.79,64.26,97.99
31,24.06,64.66,107.56
17,34.64,51.28,65.15
20,7.5,69.08,50.08
26,27.6,69.59,100.57
33,22.07,41.91,100.61
4,21.55,40.21,3.63
28,23.61,56.1,77.38
14,29.81,64.61,51.45
5,50.61,58.74,1.2
16,6.69,45.91,40.27
24,32.26,48.76,85.9
29,20.13,42.2,93.26
26,28.26,16.55,64.73
23,25.39,69.8,63.64
27,54.19,42.27,45.34
9,34.33,89.38,1.16
5,30.05,59.1,3.49
23,22.73,94.03,61.7
8,51.99,12.35,3.07
8,32.16,55.22,1.62
5,29.69,55.79,4.57
6,30.03,12.45,3.65
9,21.27,66.78,2.35
18,23.82,41.37,62.62
26,25.33,61.11,66.84
17,56.88,12.84,21.31
25,28.44,56.29,87.83
32,30.68,45.05,131.56
30,31.53,68.97,97.5
26,33.2,63.34,103.52
15,26.35,62.39,52.17
6,29.0,91.63,2.1
28,25.61,66.94,80.92
24,53.78,55.75,54.05
28,24.71,41.52,91.83
19,27.03,58.2,73.86
26,50.59,69.05,47.34
32,28.3,42.97,98.16
21,27.38,44.75,52.94
1,34.65,49.7,2.06
19,29.17,68.59,54.54
21,25.74,49.85,74.64
15,25.35,17.04,26.51
1,22.25,42.92,3.41
7,22.26,54.86,3.12
32,33.33,12.24,60.66
20,31.33,57.21,63.49
31,9.23,61.98,55.37
28,24.4,46.25,72.41
12,34.74,92.05,23.31
30,9.15,40.44,58.82
23,29.22,43.5,67.83
30,50.61,64.39,48.77
14,21.31,50.17,51.82
15,48.15,68.01,26.53
28,28.59,17.84,54.51
7,50.7,53.57,0.2
20,52.16,54.13,30.86
10,29.02,19.22,0.2
35,29.05,11.68,80.8
13,33.72,17.48,23.98
20,58.45560000000002,57.71,45.17
23,29.93,41.22,93.75
35,46.31,56.62,67.36
24,25.31,50.3,83.74
25,31.26,69.69,70.52
34,53.13,43.87,52.54
21,33.23,53.43,56.47
5,26.9,62.43,2.31
26,32.72,60.31,67.03
22,33.87,69.52,65.14
33,20.09,11.4,73.92
19,26.93,49.99,60.75
2,24.67,60.27,4.86
25,30.27,53.67,98.08
6,32.34,57.95,2.88
7,26.41,44.66,2.42
13,28.69,85.8,34.0
16,31.59,94.02,40.24
6,29.74,49.93,1.39
23,28.06,50.91,85.26
16,21.5,58.78,43.11
10,30.94,63.48,3.66
16,32.1,54.95,60.74
28,29.83,66.46,108.51
24,21.05,94.03,46.26
27,22.29,49.92,90.9
3,20.15,68.49,2.03
29,33.51,87.49,99.69
9,9.53,68.11,4.83
34,25.81,41.92,127.11
34,25.74,67.91,120.21
35,28.53,66.1,87.59
13,34.84,43.08,36.02
1,34.78,40.08,2.06
10,27.48,16.6,4.86
17,49.76,19.23,27.92
12,53.19,43.35,29.19
12,32.99,42.71,32.86
31,31.91,14.62,81.42
28,8.91,50.94,43.93
5,33.35,62.49,0.61
4,31.69,58.29,4.04
15,24.6,91.51,34.89
26,58.45560000000002,40.74,63.13
1,27.17,47.72,0.72
26,29.01,15.02,67.2
13,55.22,58.82,28.43
34,29.99,86.09,124.97
8,31.67,68.67,3.59
18,26.4,45.63,59.27
30,34.75,46.26,103.19
32,32.69,56.58,111.02
16,20.27,45.72,55.03
1,22.54,11.51,3.99
21,27.84,45.61,70.08
18,25.59,46.07,55.44
23,31.97,13.11,48.37
25,20.68,90.82,48.84
20,30.23,61.01,52.33
16,8.85,67.12,38.81
18,30.19,52.61,72.71
8,33.13,65.25,0.25
25,52.5,57.6,54.87
29,30.89,66.33,99.81
29,32.14,88.49,101.42
9,27.75,57.7,2.06
25,33.0,44.76,66.86
31,31.93,48.62,130.03
17,26.56,47.59,70.32
11,58.45560000000002,44.27,4.65
28,23.12,45.19,107.14
22,9.26,45.38,51.91
8,28.05,63.53,2.43
3,25.56,44.87,4.9
6,24.4,68.38,2.93
34,34.89,47.8,100.83
30,52.49,67.17,50.92
5,33.55,51.42,4.05
26,24.29,50.49,65.05
25,33.62,45.06,71.59
11,21.94,60.52,2.45
12,25.86,94.01,35.26
20,47.43,68.21,48.26
3,34.71,42.86,3.44
31,28.14,11.14,79.72
16,23.13,14.72,36.37
17,32.62,55.9,70.97
14,22.86,44.3,45.1
9,23.85,11.14,3.69
12,29.48,65.62,41.45
18,21.68,62.63,61.31
13,31.5,50.88,39.53
13,33.76,44.8,38.02
19,26.14,67.44,59.32
33,29.09,60.9,98.86
13,30.87,60.16,51.31
30,29.36,93.49,65.19
16,32.56,63.78,48.27
12,52.48,65.01,23.49
11,28.77,60.29,4.65
27,30.54,56.22,74.56
17,56.32,56.33,27.03
14,27.09,41.28,51.3
16,26.49,66.22,55.4
35,32.38,46.1,132.77120000000002
24,29.69,68.26,93.79
25,48.11,56.11,52.96
23,28.89,48.61,82.38
28,5.53,53.92,45.5
29,5.53,57.72,50.89
10,20.99,52.86,0.54
3,21.16,66.23,3.56
28,30.15,11.14,50.12
1,33.88,40.29,0.22
10,28.15,42.64,4.76
21,58.45560000000002,55.29,47.62
18,22.72,52.38,69.83
34,25.85,58.55,130.15
7,26.27,52.29,0.27
12,58.02,48.96,25.49
17,21.71,55.29,65.73
13,21.95,42.73,45.32
24,29.47,47.43,88.51
17,26.92,91.54,29.99
32,5.72,41.4,66.49
28,28.9,17.1,66.33
27,31.48,44.59,100.94
21,8.45,59.82,37.32
9,58.45560000000002,49.58,4.84
21,34.71,69.39,69.35
4,34.85,65.0,2.69
24,26.41,11.14,43.52
4,52.12,50.03,4.05
7,32.05,87.22,5.0
31,24.94,63.28,106.32
29,24.71,89.54,112.77
20,22.46,69.39,52.72
1,6.87,47.7,1.78
21,20.7,62.48,69.31
4,45.24,88.82,3.6
16,25.39,61.94,46.65
22,29.32,61.43,57.58
15,23.67,53.25,44.02
30,53.08,65.81,58.44
7,31.78,61.73,3.53
24,23.03,15.95,45.57
7,53.8,92.37,3.16
30,20.19,85.81,85.93
6,46.32,65.0,4.59
23,50.54,47.67,48.78
21,33.19,49.67,64.13
3,50.3,50.17,1.2
28,53.73,65.93,49.73
27,27.75,63.95,83.28
27,32.48,55.52,105.76
23,33.76,42.7,79.55
15,20.11,60.36,47.44
5,26.74,40.92,2.09
23,6.88,11.79,29.64
30,21.5,14.8,69.51
11,29.18,94.03,4.52
16,30.95,62.77,65.64
10,27.12,45.99,4.0
25,21.07,63.31,98.95
30,33.94,69.56,108.79
22,7.87,41.65,39.99
5,21.49,11.14,2.63
23,31.8,65.38,81.58
22,30.49,40.48,91.69
20,31.36,92.9,45.4
9,29.98,68.95,1.35
26,5.53,13.92,30.14
24,6.49,42.5,45.83
27,54.42,64.37,57.23
15,5.84,14.43,20.49
8,23.76,49.01,2.4
17,21.74,17.1,30.0
33,5.81,47.66,73.72
2,46.12,69.59,3.3
17,23.71,56.21,63.83
6,20.74,86.86,1.94
4,32.06,47.93,3.18
33,7.07,65.67,74.82
3,29.06,69.98,3.52
28,31.54,69.22,112.25
6,29.9,68.33,2.33
2,25.53,47.54,0.39
27,22.83,42.52,92.99
4,26.72,50.33,0.42
34,22.24,66.03,125.9
26,26.72,57.12,96.46
35,31.1,66.73,132.77120000000002
28,25.95,46.68,96.04
21,29.74,45.31,59.31
32,29.54,57.4,129.05
16,21.69,17.91,36.61
19,5.53,64.9,45.47
6,29.47,64.04,0.69
35,29.38,12.21,85.15
15,28.52,60.85,61.05
30,25.9,85.5,83.25
26,23.75,66.05,92.91
1,34.4,50.93,2.97
30,7.71,67.5,46.67
6,54.43,50.76,1.06
30,26.64,64.45,75.31
31,25.23,45.24,81.4
8,27.28,51.52,1.19
22,33.84,42.61,80.39
22,26.56,43.06,78.02
3,24.02,40.14,1.1
26,34.46,86.84,88.82
6,20.02,42.91,3.22
24,25.6,45.24,97.85
31,5.53,53.62,70.91
22,23.38,69.38,73.91
4,29.04,14.36,1.92
12,31.75,62.81,40.5
12,9.09,40.14,24.59
28,22.84,62.47,79.36
1,5.53,66.7,4.47
32,31.16,48.17,115.85
11,33.43,86.87,1.36
15,32.02,85.52,45.06
5,52.88,51.23,1.17
31,24.79,44.26,94.02
1,28.72,68.32,4.59
9,21.09,50.66,1.22
21,54.5,87.95,49.89
35,26.76,60.63,119.66
21,29.39,52.36,70.49
35,58.45560000000002,63.74,62.04
16,33.57,50.97,67.04
15,49.33,13.69,25.76
13,32.94,50.51,46.22
25,34.4,62.83,63.18
14,33.41,40.82,44.59
12,33.72,65.25,31.2
9,23.08,42.23,4.59
9,31.93,67.24,2.36
34,23.75,11.14,92.98
12,24.49,58.54,44.58
33,21.66,51.3,103.95
12,29.82,93.55,27.33
12,33.8,52.53,41.03
24,20.57,63.51,60.41
20,9.03,56.16,44.55
34,30.1,62.97,125.28
30,49.15,43.25,48.21
12,53.06,86.89,19.79
33,34.43,63.49,103.59
2,26.47,45.15,4.58
33,28.15,86.06,109.73
22,34.11,53.88,66.23
3,28.56,49.66,1.45
10,24.39,68.69,2.01
16,25.83,50.78,64.24
14,21.07,60.1,53.39
7,27.29,57.29,0.36
22,48.45,50.98,53.21
17,33.94,69.78,58.99
17,27.86,60.83,64.38
32,58.45560000000002,67.09,50.54
14,22.95,40.81,38.32
24,32.61,66.0,84.24
25,58.45560000000002,14.11,39.78
12,58.45560000000002,85.49,24.19
4,22.24,66.65,2.47
27,26.55,18.98,69.69
12,25.04,51.58,49.1
15,26.94,48.98,57.72
14,58.45560000000002,18.23,24.56
30,33.73,45.19,80.68
25,31.22,61.86,69.11
30,28.12,51.22,122.01
31,31.38,62.33,110.22
33,32.87,53.51,99.23
17,29.63,50.86,47.73
4,24.9,41.17,3.99
20,23.38,49.8,56.22
1,30.81,51.95,2.92
6,31.37,68.5,2.91
22,20.15,61.13,56.05
22,33.77,43.0,80.83
18,8.4,64.99,42.38
15,26.18,55.07,58.19
1,25.09,60.28,2.79
19,25.55,57.63,49.62
20,31.04,69.94,51.91
24,25.63,51.89,64.64
10,28.52,89.87,2.1
23,9.95,60.55,36.72
32,30.04,47.24,120.27
3,34.6,62.62,3.28
32,27.43,53.66,97.26
21,31.6,86.11,67.6
31,7.76,41.61,64.05
17,34.29,44.36,59.4
19,56.18,13.24,26.78
8,30.67,51.39,4.28
3,21.67,68.28,2.82
26,7.11,61.08,65.16
29,25.21,64.43,80.39
12,5.82,40.34,25.8
19,8.98,92.22,25.28
23,20.42,58.06,78.44
28,48.14,93.14,29.63
35,33.66,44.09,131.26
16,21.08,68.2,50.56
27,33.51,48.08,98.72
22,29.39,48.83,72.29
22,23.47,45.04,68.89
4,32.22,40.11,3.99
34,32.31,47.02,93.55
18,58.45560000000002,43.36,37.82
28,31.86,19.2,65.62
11,20.66,48.72,0.37
3,26.7,47.4,2.72
25,33.33,88.11,91.69
7,31.1,68.02,4.14
25,21.24,12.64,67.9
3,27.14,62.28,2.05
17,47.13,40.81,38.49
13,32.3,48.6,42.82
18,24.1,56.16,72.9
28,6.65,42.49,43.76
6,25.14,50.94,2.92
27,30.81,61.46,68.6
34,9.12,61.83,71.84
5,29.64,62.84,4.32
27,23.08,68.88,86.83
25,24.51,52.36,97.4
2,45.79,59.22,2.85
29,21.03,60.51,74.25
33,28.51,17.87,80.59
20,51.09,40.48,50.35
16,34.25,59.26,49.43
35,34.67,16.45,85.23
13,21.34,18.86,30.47
17,30.78,46.88,63.35
24,46.43,49.0,37.81
5,29.79,44.25,3.78
5,34.9,18.44,4.93
18,8.48,44.71,28.6
16,53.27,61.26,28.25
13,30.53,66.89,42.76
30,31.86,51.92,81.24
7,27.77,69.38,4.57
3,31.93,52.32,1.64
11,24.9,51.34,2.68
32,25.55,42.49,83.87
24,27.64,56.37,78.98
27,28.55,49.76,88.47
33,34.0,63.38,129.11
18,9.71,47.23,31.59
31,32.69,54.96,128.64
23,27.16,66.47,69.03
30,8.86,86.19,50.96
35,49.78,94.03,53.6
4,53.14,90.99,4.55
12,27.98,54.65,40.53
5,21.06,12.79,3.63
8,33.98,94.03,3.29
13,34.81,55.15,49.7
24,8.4,59.16,54.34
32,32.43,53.18,114.11
26,29.19,49.75,80.72
3,22.86,49.79,1.44
12,6.1,53.16,19.24
2,26.38,65.95,3.74
34,20.6,18.67,80.39
7,20.76,11.14,4.85
29,20.12,47.81,93.07
16,34.91,57.89,47.76
15,27.96,43.46,43.84
11,31.51,58.17,0.44
22,5.72,49.33,54.01
17,34.37,68.03,52.44
13,31.48,50.29,48.5
12,24.96,43.73,30.61
23,28.06,55.16,83.5
24,21.79,42.22,82.26
32,20.48,51.38,123.32
19,32.09,55.93,59.7
13,32.81,59.72,46.02
12,25.76,42.32,44.91
31,55.72,64.22,59.02
5,34.1,52.89,3.59
23,57.74,66.9,43.26
10,34.52,43.96,4.45
12,27.0,46.29,33.13
23,26.3,62.1,62.26
11,7.79,49.49,3.61
20,32.21,62.57,73.87
15,27.09,90.16,29.13
30,29.25,46.11,85.96
4,21.63,88.27,2.56
34,32.51,68.91,86.72
25,27.18,47.74,63.68
29,51.43,56.16,58.83
24,32.07,87.64,65.67
32,28.3,53.94,130.12
16,57.22,42.88,33.63
6,24.62,59.27,1.03
21,24.26,60.96,86.03
32,26.65,63.94,101.79
26,27.64,14.19,74.91
32,34.54,64.9,110.84
26,34.53,19.86,65.19
24,20.21,85.3,94.12
32,34.91,57.3,92.09
6,26.88,64.41,0.26
11,25.15,86.89,2.18
34,29.46,42.71,106.58
12,30.08,66.75,41.3
27,34.13,13.42,52.71
17,22.48,62.37,45.64
34,29.73,69.62,102.57
22,33.19,58.86,77.59
31,47.35,62.66,55.33
4,22.33,57.06,1.54
11,26.79,69.97,4.89
12,30.79,60.75,34.42
8,27.44,90.35,0.24
7,33.99,48.82,3.94
34,23.94,66.55,130.27
20,57.69,44.23,43.91
18,26.77,54.03,73.91
30,20.92,66.43,122.96
30,24.72,47.44,85.59
13,21.1,58.71,36.8
25,46.66,54.5,59.8
28,7.28,40.9,55.38
6,34.71,45.53,0.36
12,27.46,64.03,35.05
33,53.63,19.89,35.74
17,24.65,54.06,48.11
16,21.86,94.03,29.47
25,33.75,56.97,66.17
11,27.69,52.84,0.95
2,25.26,64.13,0.18
9,21.28,64.95,4.57
6,33.66,89.62,0.41
16,30.67,57.48,48.12
21,28.76,66.29,54.67
31,31.34,53.15,82.83
34,22.02,68.72,132.77120000000002
19,8.89,67.21,36.41
26,24.54,58.39,74.28
12,30.69,69.85,38.86
25,9.25,47.23,56.2
13,33.58,85.15,41.97
5,27.5,60.48,4.68
9,25.72,58.95,0.3
23,49.41,53.51,40.45
12,26.5,43.99,34.69
10,25.04,64.14,0.18
11,32.84,44.75,1.94
25,32.18,52.36,70.37
11,26.64,93.6,3.38
22,33.27,89.92,65.37
5,27.4,19.74,1.3
27,30.15,94.03,70.79
13,7.05,58.65,28.97
22,26.81,64.19,62.01
31,20.29,92.17,76.41
24,20.05,44.14,100.27
13,20.91,17.21,35.29
9,28.37,46.12,2.78
11,30.89,60.58,4.37
7,26.45,41.1,2.92
14,32.49,66.93,38.71
20,24.23,44.18,81.95
10,32.24,68.5,2.65
1,49.7,42.74,4.29
1,32.57,40.37,2.99
13,54.04,69.65,31.47
30,24.16,64.09,84.8
12,20.26,55.84,38.25
11,30.33,51.79,4.67
27,32.95,17.21,59.24
20,54.31,47.37,47.76
10,33.56,91.94,3.49
18,25.03,93.44,34.91
6,6.1,16.59,3.95
12,28.27,64.85,32.45
32,25.53,41.76,92.75
19,32.83,56.76,49.76
35,34.38,57.02,132.77120000000002
13,26.33,90.5,23.83
18,25.9,51.16,47.59
31,25.42,42.24,116.05
3,34.18,52.44,4.49
28,8.94,65.04,42.18
23,5.53,41.62,43.56
15,48.31,52.4,34.59
5,33.36,62.18,3.38
23,34.12,43.99,87.84
10,8.42,11.45,2.18
7,23.73,85.47,2.64
15,25.77,55.9,45.11
15,27.19,56.28,43.52
