pressure,temperature_C,humidity_percent
6.0,7.54,45.51
14.0,58.45560000000002,63.93
11.0,21.35,65.7
20.0,46.44,53.01
9.0,22.18,94.03
27.0,30.05,66.52
12.0,32.12,45.61
16.0,31.35,43.55
12.0,27.0,46.29
13.0,7.5,55.16
18.0,46.01,65.6
33.0,24.23,92.27
8.0,24.18,61.26
33.0,22.25,48.6
16.0,20.61,60.83
28.0,32.99,62.21
14.0,22.54,55.3
5.0,27.27,49.51
23.0,5.53,53.03
7.0,27.93,64.12
29.0,31.5,42.5
35.0,34.13,86.79
27.0,24.64,68.7
34.0,25.72,56.02
26.0,32.76,64.25
25.0,48.75,52.4
4.0,31.11,69.98
4.0,32.63,16.62
15.0,53.47,86.31
19.0,9.77,54.15
34.0,33.21,44.43
14.0,27.97,48.44
26.0,24.78,56.58
26.0,30.94,15.95
12.0,24.88,60.8
19.0,21.7,48.44
22.0,28.98,15.11
27.0,58.45560000000002,69.92
4.0,27.31,67.25
3.0,50.51,86.06
18.0,27.64,94.03
9.0,54.01,69.01
21.0,27.84,45.61
16.0,28.71,61.27
19.0,32.26,18.23
23.0,33.64,58.88
26.0,21.76,65.93
22.0,32.04,62.44
18.0,21.51,57.98
6.0,23.41,64.47
9.0,25.8,19.87
12.0,28.62,44.86
5.0,8.35,57.19
25.0,20.07,43.05
11.0,34.22,41.98
7.0,23.94,57.56
24.0,25.51,47.23
29.0,23.24,56.1
7.0,7.26,46.99
4.0,29.1,48.42
30.0,32.56,46.39
17.0,25.41,67.76
16.0,32.43,50.23
22.0,31.52,14.89
18.0,33.71,60.78
24.0,23.61,88.22
3.0,29.18,42.93
9.0,22.09,58.32
35.0,23.09,15.07
13.0,22.89,92.83
21.0,50.63,55.52
21.0,27.26,47.88
30.0,28.29,61.15
12.0,5.53,90.63
5.0,6.01,62.93
32.0,21.34,68.96
10.0,23.23,55.87
22.0,21.49,89.48
24.0,21.92,61.42
31.0,26.58,13.57
12.0,49.28,49.83
19.0,57.34,55.16
16.0,30.48,68.31
20.0,22.21,42.4
32.0,5.75,17.44
15.0,31.21,50.31
31.0,25.63,12.06
7.0,24.93,47.83
13.0,31.76,56.07
29.0,45.57,68.95
15.0,30.34,59.69
35.0,9.36,45.25
2.0,28.21,51.03
14.0,21.47,66.9
31.0,55.23,57.88
33.0,33.24,56.95
33.0,26.4,87.2
17.0,24.99,60.25
3.0,31.87,68.05
15.0,46.74,43.99
4.0,20.66,48.24
24.0,23.82,52.73
12.0,7.8,47.51
16.0,34.59,92.02
19.0,52.39,63.13
2.0,9.57,18.34
8.0,20.32,47.79
26.0,27.69,11.14
6.0,25.51,86.8
30.0,24.73,94.03
12.0,33.96,48.36
28.0,32.21,89.8
15.0,33.83,85.39
15.0,24.99,62.22
28.0,33.38,17.47
12.0,34.12,50.63
28.0,23.78,53.09
1.0,24.33,69.86
9.0,30.74,40.55
31.0,53.8,46.8
18.0,55.93,64.76
24.0,26.15,61.05
4.0,34.07,94.03
14.0,22.64,85.24
13.0,8.64,50.09
28.0,34.26,54.72
20.0,29.54,41.86
30.0,26.29,52.78
4.0,25.37,43.49
28.0,20.23,47.11
12.0,23.69,43.75
14.0,24.1,59.54
35.0,31.23,43.9
3.0,58.45560000000002,44.75
20.0,31.89,60.93
26.0,57.99,55.55
16.0,21.27,42.85
24.0,9.73,41.42
6.0,25.26,45.29
23.0,46.13,68.31
18.0,30.27,91.94
2.0,31.51,66.82
9.0,28.38,45.15
24.0,29.47,47.43
23.0,23.43,40.14
6.0,33.63,41.38
16.0,33.74,68.82
23.0,33.76,42.7
8.0,33.9,86.4
18.0,32.85,66.33
4.0,23.64,61.9
11.0,34.38,47.66
13.0,28.96,88.87
34.0,26.04,63.5
1.0,32.79,54.63
28.0,28.6,68.74
28.0,25.73,52.41
25.0,48.6,93.59
35.0,31.98,40.12
4.0,6.79,53.48
8.0,31.34,44.72
28.0,24.45,65.03
33.0,25.91,61.43
6.0,33.3,41.59
28.0,23.2,52.28
31.0,26.83,13.81
5.0,45.34,45.36
4.0,22.39,42.71
17.0,34.31,51.62
33.0,31.18,51.49
12.0,29.32,54.92
35.0,24.56,51.26
24.0,29.99,40.78
17.0,29.83,47.03
25.0,32.77,85.78
33.0,22.71,67.98
8.0,31.94,46.66
32.0,29.19,65.89
12.0,34.44,41.28
12.0,48.09,11.14
32.0,27.73,60.43
21.0,22.23,87.24
12.0,26.78,85.59
29.0,8.16,59.83
22.0,5.65,41.99
11.0,30.8,56.87
22.0,20.99,42.15
32.0,23.95,53.74
28.0,27.39,14.28
29.0,8.01,19.32
19.0,31.22,44.13
28.0,23.59,14.44
13.0,21.36,91.86
7.0,34.95,45.77
17.0,23.36,64.8
16.0,31.64,46.55
32.0,29.88,40.21
32.0,32.05,55.46
6.0,30.16,59.85
26.0,31.13,68.79
8.0,20.9,93.84
31.0,32.22,56.71
4.0,30.28,62.67
4.0,24.94,52.41
14.0,27.39,49.45
21.0,24.92,53.08
1.0,23.2,40.7
31.0,32.86,52.07
1.0,29.52,49.21
28.0,23.6,53.14
27.0,28.51,48.46
30.0,20.38,60.81
4.0,24.7,51.98
26.0,28.24,43.23
31.0,26.08,47.15
18.0,26.28,67.93
22.0,23.03,58.98
17.0,29.72,48.15
34.0,27.37,45.59
25.0,52.39,48.14
3.0,28.62,47.44
24.0,27.63,44.5
32.0,31.8,89.14
26.0,27.15,61.23
31.0,7.61,41.42
2.0,33.61,64.01
35.0,8.08,69.84
8.0,28.57,11.14
8.0,30.83,50.64
4.0,26.15,55.58
18.0,9.2,60.0
30.0,33.1,14.2
19.0,24.39,44.75
11.0,26.95,57.82
19.0,24.55,66.11
23.0,32.16,55.5
17.0,25.49,48.93
4.0,56.19,86.71
13.0,26.77,45.56
34.0,9.07,65.45
33.0,5.83,65.31
18.0,30.91,51.06
13.0,30.45,59.5
28.0,26.38,58.29
25.0,34.14,58.45
13.0,33.68,51.47
26.0,22.83,48.37
9.0,21.02,57.1
23.0,31.53,48.38
26.0,24.15,44.61
24.0,32.87,40.41
2.0,8.6,86.26
30.0,20.27,41.47
14.0,25.38,44.99
22.0,29.22,63.16
15.0,33.93,48.85
7.0,9.25,64.73
2.0,26.75,18.35
27.0,28.25,45.24
29.0,22.68,93.51
4.0,32.37,54.85
22.0,21.71,57.5
29.0,30.42,42.34
10.0,31.64,63.87
1.0,20.05,91.03
34.0,26.49,93.84
31.0,32.25,68.23
17.0,29.31,47.64
29.0,22.69,11.53
19.0,54.38,13.48
7.0,34.73,62.34
1.0,26.55,59.55
29.0,23.22,52.1
14.0,28.41,43.48
30.0,32.65,14.74
31.0,31.58,46.76
12.0,23.1,50.54
23.0,27.96,58.6
24.0,9.29,66.54
30.0,28.46,69.55
32.0,28.5,69.22
5.0,30.91,41.76
9.0,24.86,53.82
15.0,32.08,66.08
23.0,48.48,42.95
15.0,29.13,53.65
6.0,29.96,43.41
25.0,25.82,52.18
31.0,34.98,46.83
31.0,34.25,62.79
9.0,29.55,69.85
15.0,30.44,11.97
19.0,55.39,11.68
24.0,30.66,47.74
2.0,31.65,68.18
25.0,21.71,43.41
28.0,33.8,53.86
20.0,7.62,49.32
27.0,8.09,61.5
28.0,31.7,58.14
6.0,23.05,69.15
2.0,51.55,52.44
19.0,21.06,53.0
16.0,21.05,49.52
33.0,24.29,65.93
11.0,30.7,46.37
11.0,29.49,17.05
30.0,29.36,93.49
6.0,9.68,43.05
11.0,55.73,60.54
20.0,23.69,57.99
33.0,34.55,52.95
33.0,29.84,94.03
31.0,8.86,43.62
13.0,21.24,65.3
14.0,28.66,47.77
2.0,28.23,64.01
17.0,31.72,64.65
27.0,30.87,60.72
6.0,24.7,68.98
27.0,48.74,54.25
3.0,24.71,56.41
35.0,55.43,54.21
8.0,27.28,51.52
19.0,29.05,88.64
34.0,52.07,59.04
18.0,22.08,57.42
20.0,31.72,41.45
7.0,26.11,41.02
12.0,26.98,45.99
7.0,50.7,53.57
14.0,26.73,57.51
17.0,30.36,11.55
28.0,22.84,62.47
16.0,9.31,43.07
13.0,33.48,62.24
5.0,53.55,89.04
2.0,53.94,60.73
14.0,28.07,51.25
11.0,28.44,61.56
3.0,23.12,44.22
14.0,26.1,58.04
26.0,30.49,62.84
15.0,23.3,42.85
20.0,32.87,55.53
34.0,32.23,64.46
21.0,32.12,65.82
9.0,20.89,19.17
6.0,58.45560000000002,59.07
14.0,32.83,17.52
30.0,31.13,48.22
3.0,28.96,50.5
1.0,8.55,49.88
3.0,8.5,49.11
17.0,29.31,51.17
29.0,29.67,62.48
17.0,9.69,49.19
6.0,23.64,88.28
33.0,26.48,67.7
15.0,26.44,69.02
17.0,24.34,17.68
20.0,33.04,52.18
6.0,34.71,67.37
29.0,25.53,43.69
15.0,31.45,55.99
10.0,34.68,93.85
5.0,27.88,93.05
29.0,23.34,58.6
1.0,30.58,17.76
19.0,24.69,69.96
29.0,25.21,64.43
13.0,29.45,56.1
19.0,26.93,49.99
16.0,5.82,68.56
33.0,29.7,69.88
24.0,20.81,66.25
9.0,34.66,45.38
16.0,23.51,18.51
32.0,25.67,42.85
19.0,30.38,64.95
23.0,27.01,67.33
15.0,24.54,40.32
33.0,23.9,46.95
34.0,22.9,63.33
27.0,27.07,58.14
20.0,8.21,43.59
11.0,5.53,19.05
27.0,27.29,67.11
28.0,33.18,43.87
30.0,22.38,88.43
5.0,23.37,63.8
21.0,26.55,51.38
17.0,32.99,91.61
21.0,30.95,88.02
34.0,57.76,60.91
19.0,5.95,45.72
33.0,6.74,47.44
34.0,31.06,94.03
10.0,25.1,55.35
3.0,20.56,46.3
25.0,8.96,52.81
35.0,24.88,62.04
28.0,22.73,15.31
30.0,31.97,86.32
21.0,28.63,60.84
24.0,28.44,50.56
35.0,29.0,46.43
27.0,24.97,60.41
9.0,49.91,62.78
33.0,6.2,53.33
1.0,6.88,68.84
23.0,58.45560000000002,41.94
15.0,28.75,49.14
24.0,25.38,61.52
30.0,31.98,64.43
25.0,58.45560000000002,85.42
18.0,33.25,62.65
24.0,34.85,54.34
23.0,32.34,61.1
28.0,34.1,61.59
22.0,26.56,43.06
3.0,29.28,54.59
31.0,22.31,40.52
30.0,53.08,65.81
23.0,21.73,54.2
14.0,25.79,49.12
4.0,26.86,66.49
26.0,27.23,47.47
11.0,33.72,69.75
9.0,26.1,60.08
8.0,48.96,51.34
17.0,21.31,92.8
20.0,24.31,66.85
7.0,24.59,58.44
15.0,20.8,58.56
17.0,29.66,63.13
27.0,20.27,52.96
9.0,22.53,49.84
22.0,22.49,56.64
8.0,20.42,42.23
27.0,47.31,51.41
15.0,47.94,52.96
24.0,20.05,50.28
23.0,21.73,69.52
7.0,28.98,11.14
31.0,20.54,42.74
24.0,34.54,50.63
18.0,21.83,58.35
26.0,58.45560000000002,65.25
29.0,20.82,50.09
32.0,7.41,62.09
11.0,26.94,54.97
1.0,28.76,64.32
19.0,32.2,88.7
11.0,27.87,57.43
12.0,21.61,55.64
26.0,25.29,63.91
7.0,25.01,42.23
18.0,25.38,61.18
33.0,29.46,16.44
8.0,8.54,43.79
12.0,23.39,40.21
29.0,33.25,47.27
23.0,25.29,44.22
14.0,33.75,45.32
15.0,27.05,55.39
9.0,28.36,64.81
4.0,30.23,58.78
1.0,47.77,13.17
19.0,24.53,64.36
15.0,45.57,17.07
29.0,33.57,67.44
31.0,20.19,53.88
23.0,9.35,85.22
16.0,34.42,46.02
33.0,24.93,63.3
12.0,28.77,44.7
14.0,31.45,16.47
8.0,51.48,61.36
2.0,32.49,48.84
35.0,45.22,41.54
24.0,30.84,57.07
13.0,27.89,45.67
32.0,23.36,57.73
21.0,34.05,48.8
34.0,34.38,61.86
15.0,29.73,53.99
17.0,27.65,56.38
28.0,29.17,12.42
25.0,31.66,69.16
2.0,20.46,56.46
4.0,21.68,60.92
1.0,32.54,48.65
13.0,51.93,40.88
2.0,27.2,46.9
20.0,26.98,60.7
26.0,26.93,51.34
23.0,32.83,57.19
12.0,25.16,93.39
35.0,34.33,40.17
1.0,28.44,40.56
5.0,9.8,86.96
21.0,21.54,11.14
27.0,34.22,91.64
9.0,34.55,91.98
34.0,27.35,60.0
11.0,31.92,57.62
32.0,28.94,49.45
33.0,7.85,63.69
22.0,29.93,50.14
28.0,30.81,63.97
16.0,22.67,43.63
10.0,21.66,65.53
28.0,29.46,18.17
17.0,7.99,93.28
24.0,27.8,44.57
3.0,31.09,93.86
13.0,22.78,62.9
11.0,26.32,69.56
22.0,56.83,69.4
34.0,9.11,46.62
15.0,26.18,43.72
29.0,54.76,57.51
5.0,32.43,42.07
29.0,29.61,58.24
33.0,33.59,61.64
11.0,21.94,48.71
35.0,29.38,12.21
5.0,24.67,61.0
31.0,20.13,91.83
27.0,24.68,63.2
9.0,33.97,61.27
17.0,29.6,48.41
22.0,7.29,50.72
28.0,20.85,45.44
26.0,26.96,58.76
21.0,22.23,16.6
21.0,48.24,40.99
5.0,27.17,44.21
26.0,31.41,43.57
13.0,31.93,88.19
2.0,30.77,54.05
26.0,25.26,55.36
4.0,29.24,59.16
14.0,27.43,12.19
16.0,34.28,59.81
3.0,32.94,69.57
30.0,34.71,56.97
14.0,6.97,47.17
16.0,26.88,66.08
16.0,26.48,56.18
14.0,28.98,57.1
6.0,7.94,86.86
32.0,25.55,42.49
29.0,48.21,18.94
6.0,7.92,16.59
24.0,32.93,44.39
8.0,21.41,68.14
1.0,32.53,52.49
10.0,27.83,15.14
26.0,24.42,42.38
29.0,26.84,52.63
27.0,24.65,68.24
9.0,51.12,18.45
29.0,31.2,46.58
23.0,26.74,59.64
17.0,23.62,59.6
26.0,28.64,67.12
18.0,21.77,90.27
7.0,26.33,55.85
32.0,6.03,89.97
14.0,22.64,53.77
14.0,30.38,40.44
22.0,32.71,57.01
25.0,27.01,93.59
27.0,22.65,59.84
5.0,24.36,45.33
13.0,26.75,64.08
14.0,23.91,45.55
27.0,29.05,42.66
14.0,7.33,62.4
6.0,34.76,52.37
7.0,7.63,69.7
9.0,21.09,50.66
27.0,34.47,88.08
10.0,32.26,62.53
18.0,24.33,40.14
21.0,5.79,46.07
20.0,33.9,85.69
8.0,24.68,56.02
21.0,8.16,65.21
15.0,26.18,49.07
5.0,31.46,13.49
17.0,23.04,57.43
28.0,31.31,43.73
18.0,9.54,69.85
12.0,22.43,55.13
5.0,28.79,69.24
35.0,24.38,52.86
15.0,27.43,56.37
27.0,23.52,40.41
31.0,22.56,65.74
23.0,23.9,61.92
34.0,27.91,41.78
29.0,24.72,18.01
16.0,32.43,56.73
21.0,8.4,87.57
20.0,28.49,69.07
9.0,20.44,11.14
5.0,22.18,58.57
21.0,20.97,59.96
3.0,9.8,60.21
2.0,29.85,94.03
1.0,33.87,50.73
10.0,28.95,47.83
9.0,32.15,66.49
25.0,34.72,59.96
28.0,45.19,58.98
24.0,7.4,51.38
25.0,33.85,92.67
10.0,6.98,56.79
14.0,25.46,41.64
1.0,27.6,48.14
3.0,24.5,48.03
21.0,47.08,56.28
17.0,27.8,57.2
35.0,25.39,93.0
29.0,53.94,57.22
24.0,46.42,60.44
13.0,33.44,66.2
33.0,25.91,46.97
8.0,30.01,59.64
5.0,50.62,62.09
30.0,23.41,63.89
29.0,26.47,69.38
15.0,58.29,19.14
3.0,21.64,40.91
35.0,21.27,47.86
28.0,27.61,42.33
26.0,34.55,58.44
3.0,31.32,62.63
8.0,34.64,69.0
3.0,31.37,14.33
29.0,21.29,53.1
13.0,33.58,85.15
11.0,5.53,56.94
34.0,22.63,46.18
1.0,24.17,67.0
25.0,33.93,57.11
32.0,33.17,68.44
13.0,26.5,41.82
9.0,29.91,66.43
27.0,34.36,61.4
26.0,47.5,53.38
28.0,5.53,65.07
15.0,30.15,42.23
32.0,33.23,45.85
23.0,31.22,59.29
4.0,5.53,54.78
13.0,26.02,53.12
33.0,28.54,93.34
21.0,31.34,67.75
27.0,31.5,48.49
15.0,30.63,68.6
28.0,20.0,66.72
26.0,5.54,46.74
15.0,20.88,61.98
12.0,47.97,54.18
23.0,28.46,19.14
4.0,32.92,53.12
25.0,31.7,67.77
26.0,28.54,46.17
8.0,24.17,94.03
22.0,24.66,46.32
16.0,29.58,51.75
28.0,23.15,51.85
35.0,33.57,41.9
11.0,52.02,48.42
15.0,32.83,93.76
27.0,21.7,55.13
31.0,24.05,13.64
22.0,29.61,57.0
27.0,31.28,43.54
28.0,5.53,13.67
18.0,29.87,46.96
33.0,29.49,69.92
15.0,50.05,49.4
20.0,29.21,52.55
9.0,20.64,56.9
20.0,20.78,69.48
7.0,28.14,63.99
24.0,47.06,50.11
15.0,23.84,91.11
21.0,34.3,66.44
23.0,6.17,49.73
21.0,5.91,55.8
26.0,28.26,16.55
24.0,24.88,90.5
19.0,29.51,55.71
31.0,23.8,47.46
24.0,26.5,58.86
32.0,47.9,53.98
8.0,22.34,44.2
28.0,33.29,66.2
15.0,26.5,69.18
13.0,27.42,91.88
35.0,20.45,50.64
21.0,31.72,51.59
1.0,23.52,11.28
11.0,20.03,11.14
22.0,57.59,65.16
30.0,22.98,67.04
31.0,27.43,57.93
14.0,33.13,62.49
9.0,29.0,67.72
28.0,24.44,55.76
6.0,29.9,68.33
5.0,26.47,91.14
33.0,32.19,87.22
6.0,23.22,16.78
29.0,7.36,63.46
14.0,29.37,51.33
5.0,32.3,50.24
11.0,21.8,93.68
35.0,24.29,12.14
7.0,34.11,52.72
18.0,26.43,57.8
7.0,56.63,56.04
7.0,20.76,67.44
28.0,6.22,91.2
33.0,31.16,68.39
14.0,5.75,18.42
3.0,26.76,64.26
14.0,21.93,66.86
28.0,32.88,87.49
2.0,30.66,57.4
14.0,22.89,65.14
35.0,50.84,57.96
7.0,32.68,53.01
11.0,26.63,19.34
1.0,30.08,45.83
14.0,34.84,18.31
6.0,23.44,61.64
22.0,22.22,64.53
11.0,26.99,59.31
13.0,7.79,85.8
23.0,34.59,43.7
25.0,24.76,65.24
13.0,26.33,90.5
20.0,29.03,86.78
30.0,25.31,42.81
18.0,33.61,17.07
32.0,28.18,47.17
8.0,23.75,43.68
34.0,21.13,92.82
12.0,28.15,47.01
1.0,29.42,65.58
27.0,34.04,64.18
18.0,20.88,47.72
34.0,24.09,57.02
1.0,7.8,14.62
5.0,51.59,41.64
32.0,34.65,57.52
10.0,8.34,62.55
5.0,21.94,67.66
4.0,32.38,67.27
13.0,33.82,12.97
4.0,20.26,46.57
10.0,23.38,61.74
17.0,9.68,48.43
14.0,26.65,68.46
34.0,20.77,66.64
5.0,20.78,68.53
32.0,34.75,65.63
20.0,54.0,56.49
13.0,50.2,47.49
13.0,23.72,88.68
21.0,55.97,87.52
26.0,27.37,41.31
11.0,8.02,62.49
26.0,24.32,57.27
16.0,30.4,40.12
33.0,28.64,69.95
32.0,29.19,66.56
35.0,32.66,40.15
33.0,20.58,40.11
8.0,20.5,41.53
27.0,33.33,52.03
27.0,22.61,54.41
10.0,22.81,45.72
1.0,23.02,69.57
21.0,20.87,86.78
8.0,8.08,86.02
33.0,23.06,68.48
27.0,32.82,91.06
20.0,32.15,15.35
34.0,31.27,46.37
27.0,5.53,11.14
30.0,8.49,64.57
24.0,24.31,56.9
7.0,33.57,44.26
2.0,26.59,66.95
33.0,21.59,60.17
27.0,31.3,56.29
33.0,29.57,67.53
29.0,33.63,58.17
21.0,54.75,90.05
21.0,32.59,60.31
7.0,30.09,59.57
3.0,21.18,47.35
3.0,7.36,40.54
11.0,34.33,67.53
26.0,55.53,64.48
33.0,31.34,66.14
22.0,33.54,47.93
30.0,27.69,65.14
29.0,32.26,43.78
23.0,33.62,59.57
6.0,21.42,55.83
16.0,28.19,47.04
22.0,26.35,58.88
25.0,53.48,47.57
19.0,31.32,12.39
10.0,30.67,63.54
31.0,27.8,54.33
23.0,26.78,50.49
30.0,27.7,57.24
29.0,20.88,52.41
34.0,26.29,59.24
14.0,25.78,69.3
34.0,34.37,68.97
31.0,55.96,93.65
30.0,8.44,45.21
9.0,23.85,11.14
2.0,31.63,44.4
34.0,32.12,16.8
17.0,29.17,57.03
20.0,31.36,92.9
19.0,5.59,52.32
17.0,22.78,85.18
27.0,32.37,51.78
13.0,22.88,47.14
20.0,28.29,54.72
3.0,21.34,67.81
23.0,26.58,18.08
20.0,20.91,62.59
16.0,27.33,11.67
10.0,30.43,40.95
10.0,26.42,63.3
23.0,22.31,49.86
14.0,33.31,49.39
26.0,29.38,55.86
23.0,28.94,45.91
35.0,7.69,49.96
23.0,52.81,45.09
33.0,23.97,45.27
23.0,23.2,91.66
12.0,32.9,42.53
24.0,50.94,45.49
20.0,6.86,40.42
24.0,21.42,57.95
8.0,22.16,17.12
2.0,24.77,43.25
10.0,28.51,56.34
5.0,29.64,62.84
5.0,9.54,54.85
28.0,24.95,66.6
20.0,5.86,42.76
28.0,23.76,55.05
11.0,30.18,65.9
22.0,27.58,63.91
9.0,24.81,94.03
29.0,29.68,62.82
3.0,28.7,88.63
16.0,21.77,56.68
7.0,8.18,17.59
32.0,28.55,54.13
14.0,23.46,93.91
20.0,9.73,46.08
2.0,25.55,86.46
9.0,32.74,49.43
33.0,23.07,56.17
19.0,31.37,52.04
26.0,22.2,42.24
34.0,24.54,64.59
28.0,33.44,58.64
12.0,53.85,87.09
30.0,33.18,63.54
23.0,31.01,47.97
6.0,33.2,60.65
31.0,28.84,65.1
14.0,26.13,16.49
24.0,31.6,65.21
9.0,20.25,48.12
35.0,23.03,64.83
33.0,7.83,51.29
24.0,26.99,18.61
20.0,32.66,15.81
28.0,47.99,68.09
22.0,29.9,60.82
33.0,20.47,40.49
26.0,20.71,57.52
30.0,26.42,93.58
34.0,23.16,49.01
25.0,27.1,14.04
33.0,30.4,50.42
19.0,24.84,68.7
23.0,23.97,67.95
27.0,22.67,69.19
10.0,30.18,63.7
24.0,29.35,85.57
33.0,25.72,89.1
21.0,32.37,53.94
34.0,23.81,42.42
8.0,5.53,63.83
33.0,27.54,61.97
10.0,34.6,68.5
9.0,32.36,85.2
7.0,34.23,64.75
28.0,26.46,89.02
11.0,55.34,68.06
23.0,29.37,40.09
34.0,32.13,46.0
7.0,33.9,67.72
27.0,9.04,53.81
9.0,24.99,47.61
33.0,5.75,85.77
28.0,33.57,52.44
19.0,32.66,15.34
34.0,32.57,59.27
14.0,22.07,67.99
35.0,32.46,47.12
29.0,25.51,55.67
15.0,30.69,41.63
21.0,29.72,41.1
32.0,5.53,12.86
28.0,20.11,13.66
21.0,28.04,64.36
11.0,6.43,51.9
27.0,31.15,49.81
20.0,29.89,69.07
3.0,28.78,69.76
8.0,29.85,58.0
14.0,30.67,57.15
25.0,21.31,57.88
21.0,32.63,93.98
35.0,33.38,16.38
20.0,5.84,49.72
19.0,34.42,45.81
5.0,31.32,40.88
21.0,23.1,92.94
22.0,31.78,59.6
7.0,24.74,12.53
25.0,30.79,55.27
12.0,33.04,66.31
14.0,30.96,13.9
20.0,21.07,94.03
14.0,34.4,90.43
3.0,28.64,47.59
9.0,31.36,63.78
13.0,22.1,40.03
20.0,20.57,46.71
1.0,7.57,12.77
21.0,23.11,42.0
25.0,20.01,47.14
34.0,32.59,11.14
8.0,21.14,43.91
11.0,20.54,57.01
16.0,33.44,68.08
1.0,30.52,69.39
29.0,34.06,11.5
32.0,46.36,62.75
8.0,32.08,46.21
15.0,31.13,56.77
30.0,22.54,67.55
20.0,23.66,43.25
6.0,52.09,41.02
26.0,22.35,19.01
10.0,29.31,62.34
24.0,33.2,63.24
21.0,8.88,49.61
23.0,23.34,42.2
22.0,31.34,51.31
3.0,6.65,48.37
4.0,30.51,91.96
14.0,33.41,40.82
8.0,31.21,40.44
12.0,30.64,69.32
8.0,23.58,63.12
16.0,24.69,46.35
2.0,27.96,63.76
28.0,33.64,87.72
2.0,32.49,63.57
6.0,21.19,56.05
26.0,34.74,58.32
28.0,8.82,60.58
6.0,34.71,45.53
9.0,31.6,40.42
31.0,31.34,62.75
25.0,25.39,60.29
26.0,29.85,63.3
3.0,34.22,69.63
12.0,34.53,16.36
27.0,5.99,63.22
1.0,53.94,57.19
13.0,33.76,44.8
4.0,20.95,59.21
3.0,31.39,59.33
9.0,9.07,59.65
7.0,30.91,48.51
35.0,26.25,94.03
22.0,23.62,15.95
24.0,5.53,57.95
17.0,29.8,93.35
3.0,32.37,41.17
14.0,32.66,16.48
26.0,32.14,49.91
32.0,29.22,60.06
8.0,33.1,69.45
3.0,57.59,41.99
10.0,30.09,50.51
9.0,24.35,62.75
9.0,20.63,59.23
25.0,30.22,51.72
23.0,47.04,50.85
34.0,22.33,47.55
24.0,7.84,85.02
13.0,25.57,55.08
12.0,55.58,51.92
18.0,24.66,52.48
16.0,23.89,47.07
19.0,29.47,56.18
14.0,25.02,15.52
18.0,22.17,50.59
9.0,33.41,47.95
26.0,28.45,50.77
35.0,47.11,85.27
35.0,29.48,40.83
4.0,22.57,11.14
23.0,21.72,69.66
28.0,29.14,44.83
26.0,31.99,52.86
28.0,53.08,54.77
20.0,27.2,69.36
32.0,52.37,48.75
25.0,33.24,68.28
35.0,58.45560000000002,50.05
30.0,22.49,49.85
20.0,33.82,52.61
16.0,32.29,87.14
